uid,age,gender,experience,mode1_sport,mode1_test,mode1_attention,mode1_mimic,mode1_engagement,mode1_master,mode1_why,mode1_acceptable,mode1_intelligence,mode1_demonstration,mode1_comments,mode2_sport,mode2_test,mode2_attention,mode2_mimic,mode2_engagement,mode2_master,mode2_why,mode2_acceptable,mode2_intelligence,mode2_demonstration,mode2_comments,mode3_sport,mode3_test,mode3_attention,mode3_mimic,mode3_engagement,mode3_master,mode3_why,mode3_acceptable,mode3_intelligence,mode3_demonstration,mode3_comments,mode4_sport,mode4_test,mode4_attention,mode4_mimic,mode4_engagement,mode4_master,mode4_why,mode4_acceptable,mode4_intelligence,mode4_demonstration,mode4_comments
26d711ab-31b6-4f1f-a78c-e78c91a8e649,34,Male,Yes,3,3,7,7,7,7,it didn't even try,7,7,7,i think its power is off ,4,4,1,6,6,6,doesn't understand just watches,7,6,6,i just moved its head,1,1,1,3,4,7,its to slow,5,5,5,stiff and slow,2,2,1,3,2,7,to stiff to slow,5,4,5,stiff slow
7cda2805-2ce4-4d82-b94b-6ee0b399cba6,30,Female,No,3,3,7,7,7,7,"Robot wasn't participating, didn't look interested ",7,7,1,none,4,4,1,5,4,3,He might be good if he tried as well as watched,3,3,1,none,1,1,2,1,2,2,I feel with practice he will get it down,2,2,1,none,2,2,1,2,2,3,I feel he still has a ways to go before his movements are fluid enough,1,1,2,none
5cfb89b8-09fa-448e-ae4c-7b3bf23c2b7a,54,Male,No,4,4,6,6,7,7,The robot did not move at all.,7,4,7,None,1,1,1,1,1,6,The robot did not attempt to mimic the moves.,5,5,6,none,2,2,2,1,1,3,The robot did a moderately good job of mimicking the instructor.,3,2,3,none,3,3,1,3,1,7,The robot's motions only resembled the instructor's slightly.,3,2,2,No
37a8f86c-df58-4bb6-a7e1-de34cfac4569,30,Male,Yes,1,1,3,7,6,5,Doesn't even look like its turned on,6,6,6,,2,2,1,1,1,1,His head was bobbing quicker than the actions of the coach,1,1,1,,3,3,1,1,1,3,wasn't doing so well at following the instructor,2,2,3,,4,4,1,2,1,3,Following along worse than the previous ones.,2,2,3,
3d3a21a1-b888-4884-9200-fb24e1bfcbe3,36,Male,Yes,2,2,6,6,7,6,The robot showed no signs of learning.,6,6,7,The robot did not move.,3,3,2,2,2,2,The robot was moving their head watching the coach.,2,3,2,If moving of the head was not programmed then I believe it was a good sign.,4,4,1,1,1,1,The Robot was moving its arms like the coach.,1,1,1,The robot with following the coach's movements with its movements.,1,1,2,5,3,4,The robot was watching the coach but had different movements.,3,3,4,I do not know if the robot knew to close its hands or not.
e86cc60e-27f0-4dc6-9b24-da5cfb5a96f1,46,Female,No,4,4,6,7,7,7,It wasn't doing anything.,7,7,6,"No, because it wasn't doing anything.",1,1,3,6,5,6,"The coach wasn't displaying the right way to box, so there's little chance the robot could pick up the right way.",6,5,6,"It looked like it was paying attention, but there's no way to know if it could actually demonstrate the ability.",2,2,1,2,1,2,"They had the basic large motions down, but I don't know how much they'd be able to pick up the smaller actions like grabbing an oar.",3,3,3,They need to learn to grab the oar as well as move their arms.,3,3,1,3,1,5,It needs at lot more range of movement to do swimming strokes.,5,4,4,It would need a lot more learning to get close to swimming strokes.
7815baf1-ec64-45d6-9956-39c216b6a11e,38,Female,No,2,2,7,7,7,7,"not paying any attention, or no desire to learn",7,7,1,,3,3,5,2,6,6,"not mimicking the master in skill, so appears not interested",7,1,1,,4,4,5,6,7,1,robot has the action about 50% understood,7,2,2,needs a little bit more attention to coach to fully understand ,1,1,2,2,5,2,"robot almost there as far as understand..just needs a little bit more forcefulness, and aggressiveness",6,2,2,
4c185eac-8df5-461d-bbd0-4cf0f3241926,37,Male,Yes,2,2,7,7,7,7,The robot was not at all following the instructor's instructions and was not enacting/doing the same.,7,7,2,,3,3,3,6,3,6,The actions were not being followed by the robot as per the coach's instructions.,4,3,1,None,4,4,1,1,1,1,The robot did learn the act very quickly.,1,1,1,,1,1,2,3,3,4,"This being a fast sport, the robot looks to be low in pace.",3,2,2,
1e27345d-efaf-4edc-b6bb-14aee05c1fc2,27,Male,Yes,2,2,7,6,6,6,Robot not intrest,7,6,6,No comments,3,3,2,3,1,2,Robot learn teacher instruction,4,2,1,No coments,4,4,4,5,3,3,Robot watch instructor coach,2,1,4,No comments,1,1,3,3,4,3,Learn the instructor coach ,3,1,2,No comments
41229221-90b6-455e-aca1-936fdd676f38,33,Male,No,1,1,7,7,7,7,Robot just stood still and showed no engagement in learning,7,7,7,,2,2,2,7,6,7,Robot seemed to be watching and following movement of the instructor but did not try to imitate them to show learning achieved so very unlikely,6,6,6,,3,3,2,3,2,3,Because the robot has imitated the instructor to a decent extent ,2,4,3,,4,4,2,5,3,5,Robot has tried but performed rather badly in imitating instructor,3,6,5,
a7069b14-43d0-431c-8f07-e6d2e6d47456,54,Male,No,1,1,6,7,7,7,robot didn't budge at all.  No movement... just stand there.,7,7,7,No learning no movement.. nothing.,2,2,3,6,6,7,Robot not practicing movement of arms at all.  His head was moving but arms stationary... no practice.,7,6,7,"Robot still , not moving.  Not learning.",3,3,3,3,2,2,Robot was mirroring coach swimming strokes to some degree.  Only one thing.. The robot wasn't raising hands/limbs as high as coach... ever.  It might be that the robot's arms don't have that function.?,3,2,3,Not really - would like to have seen arms going higher and more uniformly.,4,4,3,3,3,4,The robot was very slightly moving arms... NOT wide enough.  Also no gripping action in robot at all.. hands totally flat.. no mimicking of holding anything at all.. and not much swing at all.,4,3,5,I don't think a robot can throw a frisbee according to this.
b94d8a49-ee2a-4f2d-bc0d-f44c31400deb,24,Female,No,3,3,7,7,7,7,It seemed like the robot did not acknowledge the coach,7,7,5,no,4,4,2,7,5,6,"He was watching the coach, but did not attempt trying",4,3,3,no,1,1,1,2,2,3,"He had the hand and arm motions down, has a lot of practice left, but its possible",2,2,2,no,2,2,3,3,2,3,"It was trying, and a the basic's down. It has a long way to go though",2,2,2,no
82224dcb-420e-43ef-8a23-b388928a0139,34,Male,No,3,3,4,6,4,4,"Honestly this robot is acting how I would expect a learning robot to act; by just observing. But that said, with no visible signs to go off of it could very well not even be on for all I know. ",2,4,2,I like it. ,4,4,4,3,4,6,"Assuming it 'learns' by 'sight', it was 'watching' the imaginary Frisbee rather than the avatar's motions themselves. ",4,4,6,Only comments are the same as above as to what the robot was 'looking' at. ,1,1,2,2,4,2,It was immediately mimicking the avatar's movements. ,2,4,2,None. ,2,2,2,3,4,3,It was attempting to mimic the avatar's movement. ,4,4,2,None. 
85ae7e20-f911-489c-97a9-3c8b05d68739,42,Male,No,4,4,7,7,7,7,the robot was not moving at all,7,7,6,,1,1,3,3,5,5,the robot wasn't mimicing the coach's actions,6,5,5,robot was a bad robot,2,2,2,2,2,2,the robot was actually mimicing the action unless the previous robot,2,4,2,,3,3,2,2,2,2,the robot was following the coach's actions,2,4,2,
db577d4e-07bb-4c82-afb9-44f59b2f302b,31,Male,No,1,1,6,7,7,6,It was just staring at him and not reacting.,6,6,2,,2,2,1,2,2,2,"The robot was very locked in on what the instructor was doing, showing attention.",2,4,2,"No, it didn't really move other than its head.",3,3,1,3,3,3,The robot couldn't quite get the stroke down.,2,3,2,It looked engaged but lacked the coordination.,4,4,2,5,3,5,It was watching him but moving its arms differently,3,4,3,
5019bad2-9fd1-4888-b1a7-a8ba7a883446,55,Male,No,3,3,6,7,7,7,They did not imitate or even look attentive,6,7,6,,4,4,1,2,2,2,They were attentive throughout so know what to do,2,4,3,It was attentive but did not practice the motion itself,1,1,1,1,1,1,They were attentive and they imitated the motions ,1,2,1,none,2,2,2,2,2,5,They seemed confused a little from the way they shook head at times and their motions were not similar to the coach's,4,5,5,
c61f9fef-9837-4b73-9570-b1b5a9850f4b,23,Male,No,3,3,7,7,7,7,The robot was not doing anything.,7,7,5,N/a.,4,4,1,6,4,3,"It was following the actions with its head, but not performing any of the actions.",4,3,3,N/a.,1,1,1,3,2,2,"It was mimicking the hand movements, but they didn't appear to be executed like punches typically would.",4,2,2,N/a.,2,2,2,5,4,2,It seems to be picking up on certain aspects of it.,2,1,2,N/a.
